pet_slug,species,style,minimum_species,maximum_species,possible_final_count,path_min_to_max,species_default_bst_min_to_max,proposed_context_bands_percent,missing_base_species_assets,mapping_scope
registeel,registeel,2d,registeel,registeel,1,registeel,580,"registeel [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
latias,latias,2d,latias,latias,1,latias,600,"latias [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
latios,latios,2d,latios,latios,1,latios,600,"latios [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
kyogre,kyogre,2d,kyogre,kyogre,1,kyogre,670,"kyogre [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
groudon,groudon,2d,groudon,groudon,1,groudon,670,"groudon [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
rayquaza,rayquaza,2d,rayquaza,rayquaza,1,rayquaza,680,"rayquaza [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
jirachi,jirachi,2d,jirachi,jirachi,1,jirachi,600,"jirachi [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
deoxys,deoxys,2d,deoxys,deoxys,1,deoxys,600,"deoxys [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
turtwig,turtwig,2d,turtwig,torterra,1,turtwig > grotle > torterra,318 > 405 > 525,"torterra [0.00,37.86); grotle [37.86,67.07); turtwig [67.07,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
grotle,grotle,2d,turtwig,torterra,1,turtwig > grotle > torterra,318 > 405 > 525,"torterra [0.00,37.86); grotle [37.86,67.07); turtwig [67.07,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
torterra,torterra,2d,turtwig,torterra,1,turtwig > grotle > torterra,318 > 405 > 525,"torterra [0.00,37.86); grotle [37.86,67.07); turtwig [67.07,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
chimchar,chimchar,2d,chimchar,infernape,1,chimchar > monferno > infernape,309 > 405 > 534,"infernape [0.00,38.51); monferno [38.51,67.72); chimchar [67.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
monferno,monferno,2d,chimchar,infernape,1,chimchar > monferno > infernape,309 > 405 > 534,"infernape [0.00,38.51); monferno [38.51,67.72); chimchar [67.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
infernape,infernape,2d,chimchar,infernape,1,chimchar > monferno > infernape,309 > 405 > 534,"infernape [0.00,38.51); monferno [38.51,67.72); chimchar [67.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
piplup,piplup,2d,piplup,empoleon,1,piplup > prinplup > empoleon,314 > 405 > 530,"empoleon [0.00,38.19); prinplup [38.19,67.37); piplup [67.37,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
prinplup,prinplup,2d,piplup,empoleon,1,piplup > prinplup > empoleon,314 > 405 > 530,"empoleon [0.00,38.19); prinplup [38.19,67.37); piplup [67.37,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
empoleon,empoleon,2d,piplup,empoleon,1,piplup > prinplup > empoleon,314 > 405 > 530,"empoleon [0.00,38.19); prinplup [38.19,67.37); piplup [67.37,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
starly,starly,2d,starly,staraptor,1,starly > staravia > staraptor,245 > 340 > 485,"staraptor [0.00,40.79); staravia [40.79,69.39); starly [69.39,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
staravia,staravia,2d,starly,staraptor,1,starly > staravia > staraptor,245 > 340 > 485,"staraptor [0.00,40.79); staravia [40.79,69.39); starly [69.39,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
staraptor,staraptor,2d,starly,staraptor,1,starly > staravia > staraptor,245 > 340 > 485,"staraptor [0.00,40.79); staravia [40.79,69.39); starly [69.39,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
bidoof,bidoof,2d,bidoof,bibarel,1,bidoof > bibarel,250 > 410,"bibarel [0.00,55.91); bidoof [55.91,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
bibarel,bibarel,2d,bidoof,bibarel,1,bidoof > bibarel,250 > 410,"bibarel [0.00,55.91); bidoof [55.91,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
kricketot,kricketot,2d,kricketot,kricketune,1,kricketot > kricketune,194 > 384,"kricketune [0.00,59.79); kricketot [59.79,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
kricketune,kricketune,2d,kricketot,kricketune,1,kricketot > kricketune,194 > 384,"kricketune [0.00,59.79); kricketot [59.79,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
shinx,shinx,2d,shinx,luxray,1,shinx > luxio > luxray,263 > 363 > 523,"luxray [0.00,40.97); luxio [40.97,69.40); shinx [69.40,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
luxio,luxio,2d,shinx,luxray,1,shinx > luxio > luxray,263 > 363 > 523,"luxray [0.00,40.97); luxio [40.97,69.40); shinx [69.40,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
luxray,luxray,2d,shinx,luxray,1,shinx > luxio > luxray,263 > 363 > 523,"luxray [0.00,40.97); luxio [40.97,69.40); shinx [69.40,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
budew,budew,2d,budew,roserade,1,budew > roselia > roserade,280 > 400 > 515,"roserade [0.00,38.79); roselia [38.79,68.91); budew [68.91,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
roserade,roserade,2d,budew,roserade,1,budew > roselia > roserade,280 > 400 > 515,"roserade [0.00,38.79); roselia [38.79,68.91); budew [68.91,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
cranidos,cranidos,2d,cranidos,rampardos,1,cranidos > rampardos,350 > 495,"rampardos [0.00,52.72); cranidos [52.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
rampardos,rampardos,2d,cranidos,rampardos,1,cranidos > rampardos,350 > 495,"rampardos [0.00,52.72); cranidos [52.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
shieldon,shieldon,2d,shieldon,bastiodon,1,shieldon > bastiodon,350 > 495,"bastiodon [0.00,52.72); shieldon [52.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
bastiodon,bastiodon,2d,shieldon,bastiodon,1,shieldon > bastiodon,350 > 495,"bastiodon [0.00,52.72); shieldon [52.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
burmy,burmy,2d,burmy,wormadam,2,burmy > wormadam,224 > 424,"wormadam [0.00,58.89); burmy [58.89,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
burmy,burmy,2d,burmy,mothim,2,burmy > mothim,224 > 424,"mothim [0.00,58.89); burmy [58.89,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
wormadam,wormadam,2d,burmy,wormadam,1,burmy > wormadam,224 > 424,"wormadam [0.00,58.89); burmy [58.89,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
mothim,mothim,2d,burmy,mothim,1,burmy > mothim,224 > 424,"mothim [0.00,58.89); burmy [58.89,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
combee,combee,2d,combee,vespiquen,1,combee > vespiquen,244 > 474,"vespiquen [0.00,59.42); combee [59.42,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
vespiquen,vespiquen,2d,combee,vespiquen,1,combee > vespiquen,244 > 474,"vespiquen [0.00,59.42); combee [59.42,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pachirisu,pachirisu,2d,pachirisu,pachirisu,1,pachirisu,405,"pachirisu [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
buizel,buizel,2d,buizel,floatzel,1,buizel > floatzel,330 > 495,"floatzel [0.00,54.00); buizel [54.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
floatzel,floatzel,2d,buizel,floatzel,1,buizel > floatzel,330 > 495,"floatzel [0.00,54.00); buizel [54.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
cherubi,cherubi,2d,cherubi,cherrim,1,cherubi > cherrim,275 > 450,"cherrim [0.00,55.86); cherubi [55.86,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
cherrim,cherrim,2d,cherubi,cherrim,1,cherubi > cherrim,275 > 450,"cherrim [0.00,55.86); cherubi [55.86,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
shellos,shellos,2d,shellos,gastrodon,1,shellos > gastrodon,325 > 475,"gastrodon [0.00,53.44); shellos [53.44,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gastrodon,gastrodon,2d,shellos,gastrodon,1,shellos > gastrodon,325 > 475,"gastrodon [0.00,53.44); shellos [53.44,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
ambipom,ambipom,2d,aipom,ambipom,1,aipom > ambipom,360 > 482,"ambipom [0.00,51.52); aipom [51.52,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
drifloon,drifloon,2d,drifloon,drifblim,1,drifloon > drifblim,348 > 498,"drifblim [0.00,52.98); drifloon [52.98,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
drifblim,drifblim,2d,drifloon,drifblim,1,drifloon > drifblim,348 > 498,"drifblim [0.00,52.98); drifloon [52.98,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
buneary,buneary,2d,buneary,lopunny,1,buneary > lopunny,350 > 480,"lopunny [0.00,52.05); buneary [52.05,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
lopunny,lopunny,2d,buneary,lopunny,1,buneary > lopunny,350 > 480,"lopunny [0.00,52.05); buneary [52.05,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
mismagius,mismagius,2d,misdreavus,mismagius,1,misdreavus > mismagius,435 > 495,"mismagius [0.00,47.90); misdreavus [47.90,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
honchkrow,honchkrow,2d,murkrow,honchkrow,1,murkrow > honchkrow,405 > 505,"honchkrow [0.00,49.95); murkrow [49.95,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
glameow,glameow,2d,glameow,purugly,1,glameow > purugly,310 > 452,"purugly [0.00,53.39); glameow [53.39,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
purugly,purugly,2d,glameow,purugly,1,glameow > purugly,310 > 452,"purugly [0.00,53.39); glameow [53.39,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
chingling,chingling,2d,chingling,chimecho,1,chingling > chimecho,285 > 455,"chimecho [0.00,55.34); chingling [55.34,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
stunky,stunky,2d,stunky,skuntank,1,stunky > skuntank,329 > 479,"skuntank [0.00,53.35); stunky [53.35,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
skuntank,skuntank,2d,stunky,skuntank,1,stunky > skuntank,329 > 479,"skuntank [0.00,53.35); stunky [53.35,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
bronzor,bronzor,2d,bronzor,bronzong,1,bronzor > bronzong,300 > 500,"bronzong [0.00,56.25); bronzor [56.25,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
bronzong,bronzong,2d,bronzor,bronzong,1,bronzor > bronzong,300 > 500,"bronzong [0.00,56.25); bronzor [56.25,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
bonsly,bonsly,2d,bonsly,sudowoodo,1,bonsly > sudowoodo,290 > 410,"sudowoodo [0.00,52.71); bonsly [52.71,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
mime-jr,mime-jr,2d,mime-jr,mr-rime,1,mime-jr > mr-mime > mr-rime,310 > 460 > 520,"mr-rime [0.00,36.28); mr-mime [36.28,68.37); mime-jr [68.37,90.00); pokeball [90,100]",mr-rime,species-only; form-conditional routes not resolved
happiny,happiny,2d,happiny,blissey,1,happiny > chansey > blissey,220 > 450 > 540,"blissey [0.00,40.17); chansey [40.17,73.64); happiny [73.64,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
chatot,chatot,2d,chatot,chatot,1,chatot,411,"chatot [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
spiritomb,spiritomb,2d,spiritomb,spiritomb,1,spiritomb,485,"spiritomb [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gible,gible,2d,gible,garchomp,1,gible > gabite > garchomp,300 > 410 > 600,"garchomp [0.00,41.22); gabite [41.22,69.39); gible [69.39,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gabite,gabite,2d,gible,garchomp,1,gible > gabite > garchomp,300 > 410 > 600,"garchomp [0.00,41.22); gabite [41.22,69.39); gible [69.39,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
garchomp,garchomp,2d,gible,garchomp,1,gible > gabite > garchomp,300 > 410 > 600,"garchomp [0.00,41.22); gabite [41.22,69.39); gible [69.39,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
munchlax,munchlax,2d,munchlax,snorlax,1,munchlax > snorlax,390 > 540,"snorlax [0.00,52.26); munchlax [52.26,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
riolu,riolu,2d,riolu,lucario,1,riolu > lucario,285 > 525,"lucario [0.00,58.33); riolu [58.33,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
lucario,lucario,2d,riolu,lucario,1,riolu > lucario,285 > 525,"lucario [0.00,58.33); riolu [58.33,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
hippopotas,hippopotas,2d,hippopotas,hippowdon,1,hippopotas > hippowdon,330 > 525,"hippowdon [0.00,55.26); hippopotas [55.26,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
hippowdon,hippowdon,2d,hippopotas,hippowdon,1,hippopotas > hippowdon,330 > 525,"hippowdon [0.00,55.26); hippopotas [55.26,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
skorupi,skorupi,2d,skorupi,drapion,1,skorupi > drapion,330 > 500,"drapion [0.00,54.22); skorupi [54.22,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
drapion,drapion,2d,skorupi,drapion,1,skorupi > drapion,330 > 500,"drapion [0.00,54.22); skorupi [54.22,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
croagunk,croagunk,2d,croagunk,toxicroak,1,croagunk > toxicroak,300 > 490,"toxicroak [0.00,55.82); croagunk [55.82,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
toxicroak,toxicroak,2d,croagunk,toxicroak,1,croagunk > toxicroak,300 > 490,"toxicroak [0.00,55.82); croagunk [55.82,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
carnivine,carnivine,2d,carnivine,carnivine,1,carnivine,454,"carnivine [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
finneon,finneon,2d,finneon,lumineon,1,finneon > lumineon,330 > 460,"lumineon [0.00,52.41); finneon [52.41,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
lumineon,lumineon,2d,finneon,lumineon,1,finneon > lumineon,330 > 460,"lumineon [0.00,52.41); finneon [52.41,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
mantyke,mantyke,2d,mantyke,mantine,1,mantyke > mantine,345 > 485,"mantine [0.00,52.59); mantyke [52.59,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
snover,snover,2d,snover,abomasnow,1,snover > abomasnow,334 > 494,"abomasnow [0.00,53.70); snover [53.70,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
abomasnow,abomasnow,2d,snover,abomasnow,1,snover > abomasnow,334 > 494,"abomasnow [0.00,53.70); snover [53.70,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
weavile,weavile,2d,sneasel,weavile,1,sneasel > weavile,430 > 510,"weavile [0.00,48.83); sneasel [48.83,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
magnezone,magnezone,2d,magnemite,magnezone,1,magnemite > magneton > magnezone,325 > 465 > 535,"magnezone [0.00,36.34); magneton [36.34,67.92); magnemite [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
lickilicky,lickilicky,2d,lickitung,lickilicky,1,lickitung > lickilicky,385 > 515,"lickilicky [0.00,51.50); lickitung [51.50,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
rhyperior,rhyperior,2d,rhyhorn,rhyperior,1,rhyhorn > rhydon > rhyperior,345 > 485 > 535,"rhyperior [0.00,35.27); rhydon [35.27,67.25); rhyhorn [67.25,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
tangrowth,tangrowth,2d,tangela,tangrowth,1,tangela > tangrowth,435 > 535,"tangrowth [0.00,49.64); tangela [49.64,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
electivire,electivire,2d,elekid,electivire,1,elekid > electabuzz > electivire,360 > 490 > 540,"electivire [0.00,34.96); electabuzz [34.96,66.69); elekid [66.69,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
magmortar,magmortar,2d,magby,magmortar,1,magby > magmar > magmortar,365 > 495 > 540,"magmortar [0.00,34.71); magmar [34.71,66.54); magby [66.54,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
togekiss,togekiss,2d,togepi,togekiss,1,togepi > togetic > togekiss,245 > 405 > 545,"togekiss [0.00,41.05); togetic [41.05,71.55); togepi [71.55,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
yanmega,yanmega,2d,yanma,yanmega,1,yanma > yanmega,390 > 515,"yanmega [0.00,51.22); yanma [51.22,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
leafeon,leafeon,2d,eevee,leafeon,1,eevee > leafeon,325 > 525,"leafeon [0.00,55.59); eevee [55.59,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
glaceon,glaceon,2d,eevee,glaceon,1,eevee > glaceon,325 > 525,"glaceon [0.00,55.59); eevee [55.59,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gliscor,gliscor,2d,gligar,gliscor,1,gligar > gliscor,430 > 510,"gliscor [0.00,48.83); gligar [48.83,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
mamoswine,mamoswine,2d,swinub,mamoswine,1,swinub > piloswine > mamoswine,250 > 450 > 530,"mamoswine [0.00,38.78); piloswine [38.78,71.71); swinub [71.71,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
porygon-z,porygon-z,2d,porygon,porygon-z,1,porygon > porygon2 > porygon-z,395 > 515 > 535,"porygon-z [0.00,33.32); porygon2 [33.32,65.40); porygon [65.40,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gallade,gallade,2d,ralts,gallade,1,ralts > kirlia > gallade,198 > 278 > 518,"gallade [0.00,46.90); kirlia [46.90,72.07); ralts [72.07,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
probopass,probopass,2d,nosepass,probopass,1,nosepass > probopass,375 > 525,"probopass [0.00,52.50); nosepass [52.50,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
dusknoir,dusknoir,2d,duskull,dusknoir,1,duskull > dusclops > dusknoir,295 > 455 > 525,"dusknoir [0.00,37.06); dusclops [37.06,69.18); duskull [69.18,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
froslass,froslass,2d,snorunt,froslass,1,snorunt > froslass,300 > 480,"froslass [0.00,55.38); snorunt [55.38,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
rotom,rotom,2d,rotom,rotom,1,rotom,440,"rotom [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
uxie,uxie,2d,uxie,uxie,1,uxie,580,"uxie [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
mesprit,mesprit,2d,mesprit,mesprit,1,mesprit,580,"mesprit [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
azelf,azelf,2d,azelf,azelf,1,azelf,580,"azelf [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
dialga,dialga,2d,dialga,dialga,1,dialga,680,"dialga [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
palkia,palkia,2d,palkia,palkia,1,palkia,680,"palkia [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
heatran,heatran,2d,heatran,heatran,1,heatran,600,"heatran [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
regigigas,regigigas,2d,regigigas,regigigas,1,regigigas,670,"regigigas [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
giratina,giratina,2d,giratina,giratina,1,giratina,680,"giratina [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
cresselia,cresselia,2d,cresselia,cresselia,1,cresselia,580,"cresselia [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
phione,phione,2d,phione,phione,1,phione,480,"phione [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
manaphy,manaphy,2d,manaphy,manaphy,1,manaphy,600,"manaphy [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
darkrai,darkrai,2d,darkrai,darkrai,1,darkrai,600,"darkrai [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
shaymin,shaymin,2d,shaymin,shaymin,1,shaymin,600,"shaymin [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
arceus,arceus,2d,arceus,arceus,1,arceus,720,"arceus [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
victini,victini,2d,victini,victini,1,victini,600,"victini [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
snivy,snivy,2d,snivy,serperior,1,snivy > servine > serperior,308 > 413 > 528,"serperior [0.00,38.05); servine [38.05,67.81); snivy [67.81,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
servine,servine,2d,snivy,serperior,1,snivy > servine > serperior,308 > 413 > 528,"serperior [0.00,38.05); servine [38.05,67.81); snivy [67.81,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
serperior,serperior,2d,snivy,serperior,1,snivy > servine > serperior,308 > 413 > 528,"serperior [0.00,38.05); servine [38.05,67.81); snivy [67.81,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
tepig,tepig,2d,tepig,emboar,1,tepig > pignite > emboar,308 > 418 > 528,"emboar [0.00,37.89); pignite [37.89,67.89); tepig [67.89,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pignite,pignite,2d,tepig,emboar,1,tepig > pignite > emboar,308 > 418 > 528,"emboar [0.00,37.89); pignite [37.89,67.89); tepig [67.89,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
emboar,emboar,2d,tepig,emboar,1,tepig > pignite > emboar,308 > 418 > 528,"emboar [0.00,37.89); pignite [37.89,67.89); tepig [67.89,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
oshawott,oshawott,2d,oshawott,samurott,1,oshawott > dewott > samurott,308 > 413 > 528,"samurott [0.00,38.05); dewott [38.05,67.81); oshawott [67.81,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
dewott,dewott,2d,oshawott,samurott,1,oshawott > dewott > samurott,308 > 413 > 528,"samurott [0.00,38.05); dewott [38.05,67.81); oshawott [67.81,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
samurott,samurott,2d,oshawott,samurott,1,oshawott > dewott > samurott,308 > 413 > 528,"samurott [0.00,38.05); dewott [38.05,67.81); oshawott [67.81,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
patrat,patrat,2d,patrat,watchog,1,patrat > watchog,255 > 420,"watchog [0.00,56.00); patrat [56.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
watchog,watchog,2d,patrat,watchog,1,patrat > watchog,255 > 420,"watchog [0.00,56.00); patrat [56.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
lillipup,lillipup,2d,lillipup,stoutland,1,lillipup > herdier > stoutland,275 > 370 > 500,"stoutland [0.00,39.30); herdier [39.30,68.38); lillipup [68.38,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
herdier,herdier,2d,lillipup,stoutland,1,lillipup > herdier > stoutland,275 > 370 > 500,"stoutland [0.00,39.30); herdier [39.30,68.38); lillipup [68.38,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
stoutland,stoutland,2d,lillipup,stoutland,1,lillipup > herdier > stoutland,275 > 370 > 500,"stoutland [0.00,39.30); herdier [39.30,68.38); lillipup [68.38,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
purrloin,purrloin,2d,purrloin,liepard,1,purrloin > liepard,281 > 446,"liepard [0.00,55.21); purrloin [55.21,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
liepard,liepard,2d,purrloin,liepard,1,purrloin > liepard,281 > 446,"liepard [0.00,55.21); purrloin [55.21,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pansage,pansage,2d,pansage,simisage,1,pansage > simisage,316 > 498,"simisage [0.00,55.06); pansage [55.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
simisage,simisage,2d,pansage,simisage,1,pansage > simisage,316 > 498,"simisage [0.00,55.06); pansage [55.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pansear,pansear,2d,pansear,simisear,1,pansear > simisear,316 > 498,"simisear [0.00,55.06); pansear [55.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
simisear,simisear,2d,pansear,simisear,1,pansear > simisear,316 > 498,"simisear [0.00,55.06); pansear [55.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
panpour,panpour,2d,panpour,simipour,1,panpour > simipour,316 > 498,"simipour [0.00,55.06); panpour [55.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
simipour,simipour,2d,panpour,simipour,1,panpour > simipour,316 > 498,"simipour [0.00,55.06); panpour [55.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
munna,munna,2d,munna,musharna,1,munna > musharna,292 > 487,"musharna [0.00,56.26); munna [56.26,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
musharna,musharna,2d,munna,musharna,1,munna > musharna,292 > 487,"musharna [0.00,56.26); munna [56.26,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pidove,pidove,2d,pidove,unfezant,1,pidove > tranquill > unfezant,264 > 358 > 488,"unfezant [0.00,39.57); tranquill [39.57,68.59); pidove [68.59,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
tranquill,tranquill,2d,pidove,unfezant,1,pidove > tranquill > unfezant,264 > 358 > 488,"unfezant [0.00,39.57); tranquill [39.57,68.59); pidove [68.59,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
unfezant,unfezant,2d,pidove,unfezant,1,pidove > tranquill > unfezant,264 > 358 > 488,"unfezant [0.00,39.57); tranquill [39.57,68.59); pidove [68.59,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
blitzle,blitzle,2d,blitzle,zebstrika,1,blitzle > zebstrika,295 > 497,"zebstrika [0.00,56.48); blitzle [56.48,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
zebstrika,zebstrika,2d,blitzle,zebstrika,1,blitzle > zebstrika,295 > 497,"zebstrika [0.00,56.48); blitzle [56.48,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
roggenrola,roggenrola,2d,roggenrola,gigalith,1,roggenrola > boldore > gigalith,280 > 390 > 515,"gigalith [0.00,39.11); boldore [39.11,68.73); roggenrola [68.73,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
